CTCB20,ZONE_CODE,COUNT,AREA,MEAN
1093002015,1,1.000000000000000,1513668.847656250000000,3340.692382812500000
1112023009,4,1.000000000000000,1513668.847656250000000,3829.076904296875000
1131011011,5,1.000000000000000,1513668.847656250000000,3776.730712890625000
1131011009,6,1.000000000000000,1513668.847656250000000,3825.269287109375000
1093002006,7,1.000000000000000,1513668.847656250000000,3526.384521484375000
9304001011,10,2.000000000000000,3027337.695312500000000,7154.134521484375000
1112042015,14,1.000000000000000,1513668.847656250000000,3981.615478515625000
1111001004,18,1.000000000000000,1513668.847656250000000,3619.615478515625000
1112021009,19,1.000000000000000,1513668.847656250000000,4352.922851562500000
1112022014,20,1.000000000000000,1513668.847656250000000,4295.961425781250000
1112041002,21,1.000000000000000,1513668.847656250000000,4052.538574218750000
1041081004,24,1.000000000000000,1513668.847656250000000,3848.230712890625000
1043212007,32,1.000000000000000,1513668.847656250000000,2408.923095703125000
1094001008,37,1.000000000000000,1513668.847656250000000,3590.230712890625000
1011221001,44,1.000000000000000,1513668.847656250000000,4476.577148437500000
1011221000,45,1.000000000000000,1513668.847656250000000,5018.153808593750000
1091002005,50,1.000000000000000,1513668.847656250000000,3911.000000000000000
1041242013,53,1.000000000000000,1513668.847656250000000,3913.461425781250000
1093003001,55,1.000000000000000,1513668.847656250000000,4008.807617187500000
1066462002,58,1.000000000000000,1513668.847656250000000,4176.961425781250000
9304002169,59,4.000000000000000,6054675.390625000000000,4940.250000000000000
9203382004,60,1.000000000000000,1513668.847656250000000,4346.692382812500000
9304003039,61,16.000000000000000,24218701.562500000000000,6906.997589111327216
9203313004,62,2.000000000000000,3027337.695312500000000,4221.288574218750000
9203343004,63,1.000000000000000,1513668.847656250000000,4164.961425781250000
9203343000,66,1.000000000000000,1513668.847656250000000,4574.961425781250000
9203313002,68,1.000000000000000,1513668.847656250000000,4487.461425781250000
9203382012,69,3.000000000000000,4541006.542968750000000,4962.346191406250000
9203302003,71,1.000000000000000,1513668.847656250000000,4715.615234375000000
9304003013,72,43.000000000000000,65087760.449218750000000,6211.600165788518098
9304003015,73,2.000000000000000,3027337.695312500000000,6382.057861328125000
9304003080,74,1.000000000000000,1513668.847656250000000,6505.230957031250000
9203304003,75,3.000000000000000,4541006.542968750000000,4666.640950520833030
9110013124,79,2.000000000000000,3027337.695312500000000,3442.057739257812500
9110013125,80,2.000000000000000,3027337.695312500000000,3461.557739257812500
9110013137,82,1.000000000000000,1513668.847656250000000,3645.653808593750000
9200133001,83,1.000000000000000,1513668.847656250000000,3496.346191406250000
9108153156,89,1.000000000000000,1513668.847656250000000,3653.576904296875000
9108082006,90,3.000000000000000,4541006.542968750000000,3970.884602864583485
9201212043,93,1.000000000000000,1513668.847656250000000,3148.846191406250000
9201212044,94,1.000000000000000,1513668.847656250000000,2354.461425781250000
9201152001,96,1.000000000000000,1513668.847656250000000,5271.077148437500000
9201153002,98,1.000000000000000,1513668.847656250000000,5033.038574218750000
9110012258,99,7.000000000000000,10595681.933593750000000,3588.252720424106883
9110012257,100,2.000000000000000,3027337.695312500000000,3499.596191406250000
9108072010,101,1.000000000000000,1513668.847656250000000,3972.884521484375000
9201153011,104,2.000000000000000,3027337.695312500000000,4667.807617187500000
9201152000,105,1.000000000000000,1513668.847656250000000,5222.769042968750000
9201141003,106,1.000000000000000,1513668.847656250000000,4791.846191406250000
9200133002,107,1.000000000000000,1513668.847656250000000,3696.846191406250000
9200341014,109,1.000000000000000,1513668.847656250000000,4273.577148437500000
9200341013,110,1.000000000000000,1513668.847656250000000,4081.730712890625000
1014002000,116,1.000000000000000,1513668.847656250000000,5249.653808593750000
3001004016,118,1.000000000000000,1513668.847656250000000,5263.077148437500000
9200431003,122,1.000000000000000,1513668.847656250000000,4584.692382812500000
9203304007,123,1.000000000000000,1513668.847656250000000,4881.077148437500000
9203312000,124,2.000000000000000,3027337.695312500000000,4302.826904296875000
9203311002,126,1.000000000000000,1513668.847656250000000,4294.422851562500000
9304002087,127,11.000000000000000,16650357.324218750000000,5770.388139204545951
9200421001,128,1.000000000000000,1513668.847656250000000,4250.538574218750000
9200313003,129,3.000000000000000,4541006.542968750000000,4570.628092447916970
9203313000,131,2.000000000000000,3027337.695312500000000,4135.846191406250000
9108153151,132,318.000000000000000,481346693.554687500000000,5765.779633911901328
9200422003,134,1.000000000000000,1513668.847656250000000,3987.423095703125000
9200431004,135,1.000000000000000,1513668.847656250000000,3889.461425781250000
9200423000,138,2.000000000000000,3027337.695312500000000,4136.422973632812500
9200423002,139,1.000000000000000,1513668.847656250000000,3863.615478515625000
1061121003,141,1.000000000000000,1513668.847656250000000,3882.576904296875000
1065101006,142,1.000000000000000,1513668.847656250000000,2962.923095703125000
1064052000,143,1.000000000000000,1513668.847656250000000,3167.692382812500000
1061121007,149,1.000000000000000,1513668.847656250000000,4272.961425781250000
1064063006,151,2.000000000000000,3027337.695312500000000,3598.384643554687500
1061121001,156,1.000000000000000,1513668.847656250000000,4737.922851562500000
1065102000,157,1.000000000000000,1513668.847656250000000,3614.692382812500000
1065101008,160,1.000000000000000,1513668.847656250000000,3808.923095703125000
1061112011,162,1.000000000000000,1513668.847656250000000,5196.115234375000000
1060203006,163,1.000000000000000,1513668.847656250000000,4014.423095703125000
1064061025,165,1.000000000000000,1513668.847656250000000,3328.269287109375000
9203261046,166,9.000000000000000,13623019.628906250000000,6129.166720920138687
1065101001,167,1.000000000000000,1513668.847656250000000,3859.000000000000000
1061112014,168,1.000000000000000,1513668.847656250000000,4150.730957031250000
