Join_ID,grade,sum_Area_SQUAREKILOMETERS,Polygon_Count,PercentArea
3139,D,0.001679094666831,1,16.552332599731383
3140,D,0.001812618887918,1,17.941044708306503
3141,D,0.010082163827293,1,100.000000000000000
3142,D,0.009899870665872,1,100.000000000000000
3143,D,0.039798200493946,1,100.000000000000000
3144,D,0.001976136746180,1,19.796047408913907
3145,D,0.020337124939661,1,100.000000000000000
3146,D,0.010102160656472,1,100.000000000000000
3147,D,0.009868514205918,1,100.000000000000000
3149,D,0.002208465403991,1,21.667448531775801
3150,D,0.003440485303631,1,100.000000000000000
3151,D,0.009368373551478,1,100.000000000000000
3152,D,0.010175425160087,1,100.000000000000000
3174,C,0.004794538333879,1,47.340199612749934
3180,C,0.010157684733003,1,100.000000000000000
3181,C,0.009930252080365,1,100.000000000000000
3182,C,0.010125089125964,1,100.000000000000000
3184,C,0.010262113857438,1,100.000000000000000
3185,C,0.004984889665276,1,47.393833464228798
3186,C,0.004926691808947,1,47.185216584870012
3187,C,0.000685596228452,1,37.907125896203318
3188,C,0.010264493871276,1,100.000000000000000
3189,C,0.010126513959109,1,100.000000000000000
3190,C,0.010128667049217,1,100.000000000000000
3191,C,0.010210763367273,1,100.000000000000000
3192,C,0.010252705126990,1,100.000000000000000
3193,C,0.010321441802325,1,100.000000000000000
3194,C,0.010541284035848,1,100.000000000000000
3195,C,0.002231873823104,1,100.000000000000000
3196,C,0.002828948158925,1,100.000000000000000
3197,D,0.003282155632571,1,100.000000000000000
3242,C,0.021783754681278,1,100.000000000000000
3243,C,0.009056378486787,1,100.000000000000000
3244,C,0.009010475763939,1,100.000000000000000
3245,C,0.008839791922835,1,100.000000000000000
3246,C,0.010801817812201,1,100.000000000000000
3247,C,0.018222121677621,1,100.000000000000000
3248,C,0.008860068765929,1,100.000000000000000
3249,C,0.008891897701248,1,100.000000000000000
3250,C,0.011430287504922,1,100.000000000000000
3251,C,0.023709332285369,1,100.000000000000000
3252,C,0.008448272772748,1,100.000000000000000
3253,C,0.010743418453438,1,100.000000000000000
3254,C,0.013230022145494,1,100.000000000000000
3255,C,0.010922419074361,1,100.000000000000000
3256,C,0.022286135731582,1,100.000000000000000
3257,C,0.011665107026391,1,100.000000000000000
3258,C,0.007509379982826,1,100.000000000000000
3259,C,0.007745334857978,1,100.000000000000000
3260,C,0.005002358215681,1,100.000000000000000
3261,C,0.007453618444087,1,100.000000000000000
3262,D,0.007686337020802,1,100.000000000000000
3263,D,0.007203868555542,1,100.000000000000000
3264,C,0.016454619538856,1,90.740920905261461
3264,D,0.001679006673488,1,9.259079399294656
3265,D,0.008479988111002,1,98.434678235316042
3266,C,0.001243616718879,1,51.926769798049698
3267,C,0.001796777123731,1,54.013886590405960
3268,C,0.006817116632606,1,100.000000000000000
3269,C,0.005388419462407,1,100.000000000000000
3270,C,0.040879115051396,1,96.515897613581899
3270,D,0.000062338918127,1,0.147182646448712
3271,C,0.003501946211249,1,100.000000000000000
3272,C,0.003078744876089,1,100.000000000000000
3273,C,0.008150834373451,1,100.000000000000000
3274,C,0.014488910529716,1,100.000000000000000
3275,C,0.002498001616348,1,100.000000000000000
3276,C,0.011627774831040,1,100.000000000000000
3277,C,0.007878026787000,1,100.000000000000000
3278,C,0.008049643623046,1,100.000000000000000
3279,C,0.013729667994355,1,100.000000000000000
3280,C,0.010065002816555,1,55.040734459404440
3280,D,0.008221457716930,1,44.959258287218056
3281,C,0.000109894461284,1,0.362504717884291
3281,D,0.030205413185959,1,99.637497756423215
3282,C,0.000925998272071,1,0.582791054303317
3282,D,0.157964138170263,1,99.417207381626142
3283,D,0.003652524366856,1,100.000000000000000
3284,C,0.038846846719870,1,100.000000000000000
3285,C,0.011978526658572,1,100.000000000000000
3286,C,0.012011301843205,1,100.000000000000000
3287,C,0.012400668791262,1,100.000000000000000
3288,C,0.012825117770794,1,98.813984288305974
3288,D,0.000153934724721,1,1.186024668825981
3289,C,0.013571923702724,1,98.692104129593289
3289,D,0.000179859646867,1,1.307900777377787
3290,C,0.013112350322002,1,100.000000000000000
3291,C,0.013741800251603,1,100.000000000000000
3292,B,0.000907338615280,1,8.847470877000951
3292,C,0.009348006255407,1,91.152519395239381
3293,B,0.004289520237309,1,26.230136941172983
3293,C,0.012063891470926,1,73.769892218209236
3294,B,0.015593053627664,1,29.739569086256296
3294,C,0.036838968282630,1,70.260421199061398
3295,B,0.002259025277342,1,85.090697396212391
3295,C,0.000395819672063,1,14.909334620929194
3296,B,0.015688884930045,1,90.406766580168679
3296,C,0.001664779605719,1,9.593244266565753
3297,B,0.014329890670830,1,85.669402976950920
3297,C,0.000249523436654,1,1.491743296893003
3298,B,0.004832949090208,1,34.314581244790865
3299,B,0.000002511778168,1,0.024889595829771
3300,C,0.000879081522462,1,2.936526183474839
3301,C,0.017341712754353,1,100.000000000000000
3302,C,0.002647027815184,1,100.000000000000000
3303,C,0.002685054784033,1,100.000000000000000
3304,C,0.014310359949258,1,100.000000000000000
3305,C,0.000249357978623,1,1.346106213123367
3510,C,0.001817669062424,1,12.716318224451555
3511,C,0.009506481572651,1,65.785958768071680
3512,C,0.007943505222263,1,71.220791757671961
3513,C,0.007628202590273,1,84.920193905188697
3514,C,0.008867976349373,1,100.000000000000000
3515,C,0.008796969876416,1,100.000000000000000
3516,C,0.008825929359813,1,100.000000000000000
3517,C,0.008796479249171,1,100.000000000000000
3518,C,0.008861245786113,1,100.000000000000000
3519,C,0.008969235881837,1,100.000000000000000
3520,C,0.009003298633433,1,100.000000000000000
