CTBKEY,ZONE_CODE,COUNT,AREA,MEAN
2012517011004,1,1.000000000000000,1513668.847656250000000,7053.692382812500000
2012517011018,6,2.000000000000000,3027337.695312500000000,7057.500000000000000
2012517012003,10,1.000000000000000,1513668.847656250000000,8368.269531250000000
2012517012004,11,1.000000000000000,1513668.847656250000000,7756.038574218750000
2012517012006,13,1.000000000000000,1513668.847656250000000,7184.538574218750000
2012517012012,14,7.000000000000000,10595681.933593750000000,8502.065917968751819
2012517012013,15,1.000000000000000,1513668.847656250000000,8297.692382812500000
2012517012014,16,4.000000000000000,6054675.390625000000000,8117.817260742187500
2012517012015,17,4.000000000000000,6054675.390625000000000,7885.346069335937500
2012517012020,18,1.000000000000000,1513668.847656250000000,8292.692382812500000
2012517012029,23,7.000000000000000,10595681.933593750000000,3465.434064592633604
2012517013000,24,6.000000000000000,9082013.085937500000000,5429.647379557291970
2012517013001,25,1.000000000000000,1513668.847656250000000,2978.846191406250000
2012517013008,27,1.000000000000000,1513668.847656250000000,5117.653808593750000
2012517013009,28,1.000000000000000,1513668.847656250000000,5403.000000000000000
2012517021002,34,2.000000000000000,3027337.695312500000000,7810.250000000000000
2012517021003,35,2.000000000000000,3027337.695312500000000,7871.442382812500000
2012517021004,36,5.000000000000000,7568344.238281250000000,7793.876953125000000
2012517021006,38,2.000000000000000,3027337.695312500000000,7841.384521484375000
2012517021011,39,2.000000000000000,3027337.695312500000000,7770.307617187500000
2012517021019,43,10.000000000000000,15136688.476562500000000,7597.719238281250000
2012517021020,44,25.000000000000000,37841721.191406250000000,7547.161582031249964
2012517021021,45,3.000000000000000,4541006.542968750000000,7029.717936197916970
2012517021022,46,20.000000000000000,30273376.953125000000000,7437.467309570311954
2012517021029,49,2.000000000000000,3027337.695312500000000,7420.461425781250000
2012517021030,50,1.000000000000000,1513668.847656250000000,7194.730957031250000
2012517021045,57,1.000000000000000,1513668.847656250000000,7628.730957031250000
2012517022006,61,1.000000000000000,1513668.847656250000000,7851.692382812500000
2012517022007,62,1.000000000000000,1513668.847656250000000,7760.192382812500000
2012517022013,64,4.000000000000000,6054675.390625000000000,6851.903930664062500
2012517022014,65,4.000000000000000,6054675.390625000000000,7197.355834960937500
2012517022015,66,12.000000000000000,18164026.171875000000000,7193.717976888020530
2012517022021,68,28.000000000000000,42382727.734375000000000,7296.410731724330617
2012517022022,69,6.000000000000000,9082013.085937500000000,6714.403808593750000
2012517022023,70,6.000000000000000,9082013.085937500000000,7224.923095703125000
2012517022030,72,6.000000000000000,9082013.085937500000000,6931.083333333333030
2012517022031,73,1.000000000000000,1513668.847656250000000,6704.384765625000000
2012517022032,74,1.000000000000000,1513668.847656250000000,5780.000000000000000
2012517022033,75,1.000000000000000,1513668.847656250000000,7209.000000000000000
2012517022038,76,12.000000000000000,18164026.171875000000000,7404.663492838541970
2012517022039,77,7.000000000000000,10595681.933593750000000,7114.357142857143117
2012517022041,79,4.000000000000000,6054675.390625000000000,5785.096069335937500
2012517022049,83,28.000000000000000,42382727.734375000000000,798.568692037037408
2012517022055,84,6.000000000000000,9082013.085937500000000,7269.775634765625000
2012517022056,85,1.000000000000000,1513668.847656250000000,6479.692382812500000
2012517022058,87,1.000000000000000,1513668.847656250000000,5328.077148437500000
2012518001003,88,4.000000000000000,6054675.390625000000000,7862.596191406250000
2012518001004,89,52.000000000000000,78710780.078125000000000,6549.285475510817378
2012518001005,90,10.000000000000000,15136688.476562500000000,7099.084667968750182
2012518001006,91,9.000000000000000,13623019.628906250000000,7078.371853298611313
2012518001012,93,35.000000000000000,52978409.667968750000000,7179.791210937500182
2012518001014,95,1.000000000000000,1513668.847656250000000,7622.500000000000000
2012518001020,97,3.000000000000000,4541006.542968750000000,6943.692220052083030
2012519021000,98,2.000000000000000,3027337.695312500000000,6317.730957031250000
2012519021001,99,1.000000000000000,1513668.847656250000000,6122.000000000000000
2012519021002,100,1.000000000000000,1513668.847656250000000,6134.038574218750000
2012519021008,102,1.000000000000000,1513668.847656250000000,6802.922851562500000
2012519021017,107,1.000000000000000,1513668.847656250000000,7153.077148437500000
2012519021019,109,5.000000000000000,7568344.238281250000000,7602.407617187500364
2012519021025,111,1.000000000000000,1513668.847656250000000,5821.961425781250000
2012519022007,115,1.000000000000000,1513668.847656250000000,8065.692382812500000
2012519022008,116,1.000000000000000,1513668.847656250000000,8364.461914062500000
2012519022009,117,1.000000000000000,1513668.847656250000000,7524.346191406250000
2012519022014,118,1.000000000000000,1513668.847656250000000,7558.577148437500000
2012519022018,122,2.000000000000000,3027337.695312500000000,7435.442138671875000
