CTBKEY,ZONE_CODE,COUNT,AREA,MEAN
2012517011004,1,70.000000000000000,678123.643749999580905,37.528571428571439
2012517011010,2,25.000000000000000,242187.015624999854481,41.719999999999999
2012517011011,3,10.000000000000000,96874.806249999950523,51.500000000000000
2012517011012,4,30.000000000000000,290624.418749999837019,28.133333333333333
2012517011013,5,61.000000000000000,590936.318124999641441,31.327868852459023
2012517011018,6,117.000000000000000,1133435.233124999329448,40.324786324786317
2012517011019,7,32.000000000000000,309999.379999999830034,19.593750000000004
2012517011020,8,34.000000000000000,329374.341249999823049,25.441176470588228
2012517011021,9,33.000000000000000,319686.860624999797437,18.757575757575758
2012517012003,10,145.000000000000000,1404684.690624999115244,15.875862068965517
2012517012004,11,90.000000000000000,871873.256249999511056,17.111111111111114
2012517012005,12,43.000000000000000,416561.666874999762513,18.325581395348845
2012517012006,13,60.000000000000000,581248.837499999674037,19.133333333333340
2012517012012,14,1096.000000000000000,10617478.764999995008111,3.973540145985407
2012517012013,15,44.000000000000000,426249.147499999788124,15.295454545454543
2012517012014,16,405.000000000000000,3923429.653124997857958,16.288888888888884
2012517012015,17,1029.000000000000000,9968417.563124993816018,20.157434402332360
2012517012020,18,38.000000000000000,368124.263749999809079,21.631578947368418
2012517012021,19,94.000000000000000,910623.178749999497086,23.085106382978719
2012517012022,20,38.000000000000000,368124.263749999809079,17.131578947368418
2012517012023,21,52.000000000000000,503748.992499999701977,16.788461538461533
2012517012028,22,7.000000000000000,67812.364374999961001,19.857142857142858
2012517012029,23,1421.000000000000000,13765909.968124993145466,0.197748064743138
2012517013000,24,931.000000000000000,9019044.461874995380640,30.049409237379159
2012517013001,25,36.000000000000000,348749.302499999816064,22.000000000000000
2012517013007,26,40.000000000000000,387499.224999999802094,32.174999999999997
2012517013008,27,43.000000000000000,416561.666874999762513,28.441860465116275
2012517013009,28,57.000000000000000,552186.395624999655411,28.754385964912281
2012517013010,29,25.000000000000000,242187.015624999854481,33.999999999999993
2012517013015,30,24.000000000000000,232499.534999999857973,33.375000000000000
2012517013016,31,10.000000000000000,96874.806249999950523,42.800000000000004
2012517013017,32,2.000000000000000,19374.961249999989377,49.500000000000000
2012517013018,33,32.000000000000000,309999.379999999830034,26.124999999999996
2012517021002,34,508.000000000000000,4921240.157499996945262,14.718503937007874
2012517021003,35,415.000000000000000,4020304.459374997764826,12.744578313253013
2012517021004,36,663.000000000000000,6422799.654374996200204,8.309200603318263
2012517021005,37,4.000000000000000,38749.922499999978754,20.250000000000000
2012517021006,38,455.000000000000000,4407803.684374997392297,14.189010989010987
2012517021011,39,213.000000000000000,2063433.373124998761341,6.262910798122066
2012517021012,40,3.000000000000000,29062.441874999982247,0.000000000000000
2012517021013,41,8.000000000000000,77499.844999999957508,0.000000000000000
2012517021014,42,13.000000000000000,125937.248124999925494,1.307692307692308
2012517021019,43,1488.000000000000000,14414971.169999992474914,2.143817204301075
2012517021020,44,3749.000000000000000,36318364.863124981522560,5.797812750066697
2012517021021,45,448.000000000000000,4339991.319999997504056,9.921875000000005
2012517021022,46,3382.000000000000000,32763059.473749980330467,7.172678888231823
2012517021027,47,13.000000000000000,125937.248124999925494,16.769230769230770
2012517021028,48,14.000000000000000,135624.728749999922002,52.857142857142854
2012517021029,49,237.000000000000000,2295932.908124998677522,17.962025316455684
2012517021030,50,82.000000000000000,794373.411249999538995,4.853658536585367
2012517021031,51,48.000000000000000,464999.069999999715947,28.812500000000007
2012517021036,52,27.000000000000000,261561.976874999847496,21.925925925925924
2012517021037,53,12.000000000000000,116249.767499999928987,29.666666666666664
2012517021038,54,2.000000000000000,19374.961249999989377,42.000000000000000
2012517021039,55,9.000000000000000,87187.325624999954016,62.111111111111114
2012517021044,56,12.000000000000000,116249.767499999928987,55.750000000000000
2012517021045,57,6.000000000000000,58124.883749999964493,80.833333333333329
2012517021046,58,12.000000000000000,116249.767499999928987,69.166666666666657
2012517021047,59,12.000000000000000,116249.767499999928987,47.333333333333336
2012517022005,60,10.000000000000000,96874.806249999950523,0.000000000000000
2012517022006,61,77.000000000000000,745936.008124999585561,17.701298701298697
2012517022007,62,64.000000000000000,619998.759999999660067,18.515625000000000
2012517022008,63,42.000000000000000,406874.186249999795109,53.071428571428569
2012517022013,64,752.000000000000000,7284985.429999995976686,0.150265957446809
2012517022014,65,497.000000000000000,4814677.870624997653067,2.450704225352113
2012517022015,66,1666.000000000000000,16139342.721249992027879,0.311524609843937
2012517022016,67,82.000000000000000,794373.411249999538995,0.792682926829268
2012517022021,68,4650.000000000000000,45046784.906249977648258,2.306666666666663
2012517022022,69,854.000000000000000,8273108.453749995678663,4.903981264637005
2012517022023,70,978.000000000000000,9474356.051249993965030,11.614519427402865
2012517022024,71,65.000000000000000,629686.240624999627471,18.338461538461541
2012517022030,72,1060.000000000000000,10268729.462499994784594,16.620754716981132
2012517022031,73,39.000000000000000,377811.744374999776483,22.512820512820511
2012517022032,74,30.000000000000000,290624.418749999837019,22.200000000000003
2012517022033,75,107.000000000000000,1036560.426874999422580,6.280373831775700
2012517022038,76,1902.000000000000000,18425588.148749988526106,2.073606729758150
2012517022039,77,1285.000000000000000,12448412.603124992921948,2.269260700389109
2012517022040,78,79.000000000000000,765310.969374999636784,21.848101265822780
2012517022041,79,563.000000000000000,5454051.591874997131526,18.246891651865006
2012517022046,80,57.000000000000000,552186.395624999655411,14.982456140350878
2012517022047,81,26.000000000000000,251874.496249999850988,12.499999999999996
2012517022048,82,29.000000000000000,280936.938124999869615,17.137931034482754
