CTCB20,FctImp,LST,NDVI,CT20,BG20,CB20,PatchDensity,LandscapeShapeIndex,PerCoverGreen
1093002015,57.629629629629626,44746.333550347226,3340.6923828125,109300,1093002,2015,0.0,,0.0
1112023009,55.935483870967744,44705.12226562501,3829.076904296875,111202,1112023,3009,0.0,,0.0
1131011011,52.14285714285714,44198.7777374031,3776.730712890625,113101,1131011,1011,0.0,,0.0
1131011009,47.220779220779214,44318.36528445513,3825.269287109375,113101,1131011,1009,0.0,,0.0
1093002006,57.08333333333332,44792.39843750001,3526.384521484375,109300,1093002,2006,0.0,,0.0
9304001011,3.873493975903615,43042.69235035877,7154.134521484375,930400,9304001,1011,3.11469573e-07,8343.654422197786,0.891964084073794
1112042015,62.432432432432435,44774.48277243589,3981.615478515625,111204,1112042,2015,0.0,,0.0
1111001004,53.73333333333333,45115.04401041667,3619.615478515625,111100,1111001,1004,0.0,,0.0
1112021009,50.357142857142854,44435.98125,4352.9228515625,111202,1112021,1009,0.0,,0.0
1112022014,48.35,44419.09343750001,4295.96142578125,111202,1112022,2014,0.0,,0.0
1112041002,47.25925925925927,43963.274682348914,4052.5385742187505,111204,1112041,1002,0.0,,0.0
1041081004,56.13978494623657,44692.52235243056,3848.230712890625,104108,1041081,1004,0.0,,0.0
1043212007,60.70588235294117,44658.633072916666,2408.923095703125,104321,1043212,2007,0.0,,0.0
1094001008,47.61643835616439,44734.166630993146,3590.230712890625,109400,1094001,1008,0.0,,0.0
1011221001,36.96551724137933,44843.60202452958,4476.5771484375,101122,1011221,1001,4.299559221e-06,71719.8193551995,0.101663933765221
1011221000,14.65486725663717,44158.181415929204,5018.15380859375,101122,1011221,1000,9.20410223e-07,4816.664045574108,0.60995306460519
1091002005,63.464285714285715,44667.80657762097,3911.0,109100,1091002,2005,0.0,,0.0
1041242013,52.94117647058823,44996.068474264706,3913.4614257812495,104124,1041242,2013,0.0,,0.0
1093003001,49.730434782608675,44982.91399949598,4008.8076171875,109300,1093003,3001,0.0,,0.0
1066462002,55.63076923076923,45323.93249511719,4176.96142578125,106646,1066462,2002,0.0,,0.0
9304002169,4.179141104294485,43834.122316919165,4940.25,930400,9304002,2169,7.76748536e-07,38647.61283708033,0.821614431628413
9203382004,56.00000000000001,46162.66323617789,4346.6923828125,920338,9203382,2004,0.0,,0.0
9304003039,0.002932551319648,44321.67713480101,6906.997589111327,930400,9304003,3039,3.7993833e-08,4850.6226487636895,0.997759289355627
9203313004,20.63589743589744,47048.40112672737,4221.28857421875,920331,9203313,3004,1.581402245e-06,50683.56657993229,0.08198471270427
9203343004,27.227848101265813,44706.98562885803,4164.96142578125,920334,9203343,3004,0.0,,0.0
9203343000,50.697247706422026,45648.307713963964,4574.96142578125,920334,9203343,3000,0.0,,0.0
9203313002,48.89051094890512,46368.295700187984,4487.46142578125,920331,9203313,3002,0.0,,0.0
9203382012,40.7173333333333,46080.9969443044,4962.34619140625,920338,9203382,2012,0.0,,0.0
9203302003,44.41007194244603,45100.29934630106,4715.615234375,920330,9203302,2003,0.0,,0.0
9304003013,0.357309941520467,45017.654507553685,6211.600165788518,930400,9304003,3013,1.5063849e-08,5599.500931074323,0.984091625488498
9304003015,1.187596899224806,45970.73567708339,6382.057861328125,930400,9304003,3015,1.62347017e-07,4057.729173143844,0.949312066236454
9304003080,16.66666666666667,45767.68380116151,6505.23095703125,930400,9304003,3080,9.07094652e-07,10135.516480641025,0.563788528271076
9203304003,38.70103092783502,45255.96209703944,4666.640950520833,920330,9203304,4003,0.0,,0.0
9110013124,1.338983050847457,50471.042889300865,3442.0577392578125,911001,9110013,3124,3.51806917e-07,4017.64221325994,0.907200534806397
9110013125,1.009685230024214,50476.733956125296,3461.5577392578125,911001,9110013,3125,2.50642017e-07,5217.670858241512,0.9463651232305
9110013137,1.330985915492957,50941.99878875971,3645.6538085937505,911001,9110013,3137,7.57608638e-07,4524.071154465102,0.874452969593635
9200133001,51.47826086956522,46813.36015625,3496.34619140625,920013,9200133,3001,0.0,,0.0
9108153156,3.919402985074624,45426.2771819527,3653.576904296875,910815,9108153,3156,6.16501874e-07,8292.610641201169,0.833099568434032
9108082006,16.728426395939106,45707.50209053075,3970.884602864583,910808,9108082,2006,5.20694502e-07,11809.61830619057,0.503235171587773
9201212043,76.9878048780488,46532.48592808734,3148.84619140625,920121,9201212,2043,0.0,,0.0
9201212044,79.38636363636365,46599.12845725574,2354.46142578125,920121,9201212,2044,0.0,,0.0
9201152001,43.28169014084506,45244.615830008865,5271.0771484375,920115,9201152,2001,0.0,,0.0
9201153002,43.53333333333334,45591.40172230115,5033.03857421875,920115,9201153,3002,0.0,,0.0
9110012258,1.04689655172414,49453.072488098354,3588.252720424107,911001,9110012,2258,7.1095841e-08,4642.779048304656,0.96164667949969
9110012257,1.643356643356645,49778.19742298577,3499.59619140625,911001,9110012,2257,2.40522324e-07,6357.90059161078,0.930574516324972
9108072010,41.87096774193547,45886.0851384943,3972.884521484375,910807,9108072,2010,0.0,,0.0
9201153011,57.89156626506024,45224.95370778728,4667.8076171875,920115,9201153,3011,0.0,,0.0
9201152000,56.64772727272729,46030.26189045329,5222.76904296875,920115,9201152,2000,0.0,,0.0
9201141003,59.28645833333334,45891.53313154447,4791.84619140625,920114,9201141,1003,0.0,,0.0
9200133002,59.768115942028984,47301.13482306986,3696.8461914062495,920013,9200133,3002,0.0,,0.0
9200341014,51.89473684210527,46711.36486486486,4273.5771484375,920034,9200341,1014,0.0,,0.0
9200341013,38.37062937062936,46540.04038217905,4081.730712890625,920034,9200341,1013,2.206492623e-06,69349.7233709454,0.107652901394955
1014002000,26.18437500000002,44300.2898048092,5249.65380859375,101400,1014002,2000,3.23683104e-07,9996.277472091917,0.166775935054108
3001004016,41.46621621621625,44406.85150971284,5263.0771484375,300100,3001004,4016,0.0,,0.0
9200431003,62.483870967741915,45030.79528601696,4584.6923828125,920043,9200431,1003,0.0,,0.0
9203304007,45.58064516129032,45043.74475097657,4881.0771484375,920330,9203304,4007,0.0,,0.0
9203312000,46.868932038834934,46665.682186351136,4302.826904296875,920331,9203312,2000,0.0,,0.0
9203311002,45.476923076923065,46510.312681686024,4294.4228515625,920331,9203311,1002,0.0,,0.0
9304002087,4.428323699421973,44875.11528642823,5770.388139204546,930400,9304002,2087,3.59777535e-07,32012.510496196213,0.83193995349904
9200421001,47.07042253521127,45621.12600295607,4250.53857421875,920042,9200421,1001,0.0,,0.0
9200313003,38.97506925207754,45826.31791622901,4570.628092447917,920031,9200313,3003,0.0,,0.0
9203313000,24.48704663212437,46815.80470784503,4135.84619140625,920331,9203313,3000,0.0,,0.0
9108153151,0.132919796270239,44581.069984231086,5765.779633911901,910815,9108153,3151,1.6368891e-08,38136.13142829297,0.992084777290144
9200422003,48.804347826086946,45811.125954861105,3987.423095703125,920042,9200422,2003,0.0,,0.0
9200431004,63.322033898305094,45469.76119791668,3889.4614257812495,920043,9200431,1004,0.0,,0.0
9200423000,47.02127659574468,45756.492906250016,4136.4229736328125,920042,9200423,3000,0.0,,0.0
9200423002,63.00000000000001,45987.636948529405,3863.615478515625,920042,9200423,3002,0.0,,0.0
1061121003,50.62068965517241,45449.420000000006,3882.576904296875,106112,1061121,1003,0.0,,0.0
1065101006,38.260869565217384,44482.0916037088,2962.923095703125,106510,1065101,1006,0.0,,0.0
